Variable,Value
z_1,0
z_2,0
z_3,0
z_4,1
z_5,0
z_6,0
z_7,0
z_8,0
z_9,0
z_10,0
z_11,0
z_12,0
z_13,0
z_14,0
z_15,0
z_16,0
z_17,0
z_18,0
z_19,0
z_20,0
y_1,0
y_2,0
y_3,0
y_4,0
y_5,0
y_6,0
y_7,0
y_8,1
y_9,0
y_10,0
y_11,0
y_12,0
y_13,0
y_14,0
y_15,0
y_16,0
y_17,0
y_18,0
y_19,0
y_20,0
x_1,0
x_2,0
x_3,0
x_4,0
x_5,0
x_6,1
x_7,0
x_8,0
x_9,0
x_10,0
x_11,0
x_12,0
x_13,0
x_14,0
x_15,0
x_16,0
x_17,0
x_18,0
x_19,0
x_20,0
alpha_1,1.000000
alpha_2,1.000000
alpha_3,1.000000
alpha_4,1.000000
alpha_5,1.000000
alpha_6,1.000000
alpha_7,1.000000
alpha_8,0.000000
alpha_9,1.000000
alpha_10,1.000000
alpha_11,1.000000
alpha_12,1.000000
alpha_13,1.000000
alpha_14,0.000000
alpha_15,1.000000
alpha_16,1.000000
alpha_17,1.000000
alpha_18,1.000000
alpha_19,1.000000
alpha_20,0.000000
